State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
NJ,2016,6,167895.0,91908.0,0.646239651,D,D
NJ,2016,7,148188.0,185850.0,0.443626174,R,R
NJ,2016,8,134733.0,32337.0,0.8064464,D,D
NJ,2016,9,162642.0,65376.0,0.713285793,D,D
NJ,2016,10,190856.0,26450.0,0.8782822379999999,D,D
NJ,2016,11,130162.0,194299.0,0.401163776,R,R
NJ,2016,12,181430.0,92407.0,0.662547428,D,D
NM,2016,1,181088.0,96879.0,0.651473017,D,D
NM,2016,2,85232.0,143514.0,0.372605423,R,R
NM,2016,3,170612.0,102730.0,0.624170453,D,D
NV,2016,1,116537.0,54174.0,0.6826566540000001,D,D
NV,2016,2,115722.0,182676.0,0.38781091,R,R
NV,2016,3,146869.0,142926.0,0.506803085,O,D
NV,2016,4,128985.0,118328.0,0.5215455720000001,R,D
NY,2016,1,121982.0,175168.0,0.41050647799999995,R,R
NY,2016,2,105100.0,174961.0,0.375275386,R,R
NY,2016,3,162947.0,145706.0,0.527929422,O,D
NY,2016,4,185286.0,125865.0,0.5954857929999999,D,D
NY,2016,5,199552.0,30257.0,0.86833849,D,D
NY,2016,6,136506.0,50617.0,0.729498779,D,D
NY,2016,7,172145.0,17477.0,0.907832425,D,D
NY,2016,8,214595.0,0.0,1.0,D,D
NY,2016,9,214189.0,0.0,1.0,D,D
NY,2016,10,192122.0,53806.0,0.7812123870000001,D,D
NY,2016,11,85257.0,142934.0,0.373621221,R,R
NY,2016,12,244199.0,49350.0,0.831884966,D,D
NY,2016,13,206994.0,16083.0,0.927903818,O,D
NY,2016,14,147587.0,30545.0,0.828526037,D,D
NY,2016,15,165688.0,6129.0,0.964328326,D,D
NY,2016,16,209857.0,0.0,1.0,D,D
NY,2016,17,214530.0,0.0,1.0,D,D
NY,2016,18,162060.0,129369.0,0.5560874179999999,D,D
NY,2016,19,138800.0,164800.0,0.457180501,O,R
NY,2016,20,213021.0,100738.0,0.678931919,D,D
NY,2016,21,82161.0,177886.0,0.31594673300000004,R,R
NY,2016,22,114266.0,129444.0,0.468860531,O,R
NY,2016,23,118584.0,161050.0,0.42406860399999996,R,R
NY,2016,24,119040.0,182761.0,0.394432093,R,R
NY,2016,25,182950.0,142650.0,0.561885749,D,D
NY,2016,26,215289.0,73377.0,0.745806572,D,D
NY,2016,27,107832.0,220885.0,0.328039012,R,R
OH,2016,1,144644.0,210014.0,0.407840793,R,R
OH,2016,2,111694.0,221193.0,0.335531276,R,R
OH,2016,3,199791.0,91560.0,0.6857398809999999,D,D
OH,2016,4,98981.0,210227.0,0.32011138100000003,R,R
OH,2016,5,100392.0,244599.0,0.290998896,R,R
OH,2016,6,88780.0,213975.0,0.293240409,R,R
OH,2016,7,89638.0,198221.0,0.31139551,R,R
OH,2016,8,87794.0,223833.0,0.281727835,R,R
OH,2016,9,193966.0,88427.0,0.6868654679999999,D,D
OH,2016,10,109981.0,215724.0,0.337670591,R,R
OH,2016,11,242917.0,59769.0,0.8025379440000001,D,D
OH,2016,12,112638.0,251266.0,0.309526688,R,R
OH,2016,13,208610.0,99377.0,0.6773337840000001,D,D
OH,2016,14,130907.0,219191.0,0.373915304,R,R
OH,2016,15,113960.0,222847.0,0.33835401299999995,R,R
OH,2016,16,119830.0,225794.0,0.346706247,R,R
OK,2016,1,0.0,1.0,0.0,R,R
OK,2016,2,62387.0,189839.0,0.24734563399999998,R,R
OK,2016,3,63090.0,227525.0,0.21709134100000002,R,R
OK,2016,4,76472.0,204143.0,0.27251572399999996,R,R
OK,2016,5,103273.0,160184.0,0.391991862,R,R
OR,2016,1,225391.0,139756.0,0.617260994,D,D
OR,2016,2,106640.0,272952.0,0.280933213,R,R
OR,2016,3,274687.0,0.0,1.0,D,D
OR,2016,4,220628.0,157743.0,0.583099656,D,D
OR,2016,5,199505.0,160443.0,0.554260615,D,D
PA,2016,1,245791.0,53219.0,0.8220159859999999,D,D
PA,2016,2,322514.0,35131.0,0.90177131,O,D
PA,2016,3,0.0,244893.0,0.0,R,R
PA,2016,4,113372.0,220628.0,0.33943712600000003,R,R
PA,2016,5,101082.0,206751.0,0.32836635399999997,R,R
PA,2016,6,153632.0,206414.0,0.42670103299999995,R,R
PA,2016,7,153824.0,225678.0,0.40533119700000003,R,R
PA,2016,8,173555.0,207469.0,0.45549624200000005,O,R
PA,2016,9,107985.0,186580.0,0.366591414,R,R
PA,2016,10,89823.0,211282.0,0.29831122,R,R
PA,2016,11,113800.0,199421.0,0.363321744,R,R
PA,2016,12,137353.0,221851.0,0.38238159899999996,R,R
PA,2016,13,239316.0,0.0,1.0,D,D
PA,2016,14,255293.0,87999.0,0.743661373,D,D
PA,2016,15,124129.0,190618.0,0.394377071,R,R
PA,2016,16,134586.0,168669.0,0.44380471899999996,O,R
PA,2016,17,157734.0,135430.0,0.538040141,D,D
PA,2016,18,0.0,293684.0,0.0,R,R
RI,2016,1,130534.0,71023.0,0.647628214,D,D
RI,2016,2,133108.0,70301.0,0.6543859910000001,D,D
SC,2016,1,119779.0,190410.0,0.386148445,R,R
SC,2016,2,109452.0,183746.0,0.373304047,R,R
SC,2016,3,72933.0,196325.0,0.270866604,R,R
SC,2016,4,91676.0,198648.0,0.315771345,R,R
SC,2016,5,105772.0,161669.0,0.395496577,R,R
SC,2016,6,177947.0,70099.0,0.7173951609999999,D,D
SC,2016,7,112744.0,176468.0,0.38983168100000004,R,R
SD,2016,1,132810.0,237163.0,0.358972141,R,R
TN,2016,1,39024.0,198293.0,0.16443828300000002,R,R
TN,2016,2,68401.0,212455.0,0.243544735,R,R
TN,2016,3,76727.0,176613.0,0.302861767,R,R
TN,2016,4,89141.0,165796.0,0.349658935,R,R
TN,2016,5,171111.0,102433.0,0.625533735,D,D
TN,2016,6,61995.0,202234.0,0.234626025,R,R
TN,2016,7,65226.0,200407.0,0.24554931100000002,R,R
TN,2016,8,70925.0,194386.0,0.267327778,O,R
TN,2016,9,171631.0,41123.0,0.806711037,D,D
TX,2016,1,62847.0,192434.0,0.246187535,R,R
TX,2016,2,100231.0,168692.0,0.372712635,R,R
TX,2016,3,109420.0,193684.0,0.360998205,R,R
TX,2016,4,0.0,216643.0,0.0,R,R
TX,2016,5,0.0,155469.0,0.0,R,R
TX,2016,6,106667.0,159444.0,0.40083649299999996,R,R
TX,2016,7,111991.0,143542.0,0.438264334,R,R
TX,2016,8,0.0,236379.0,0.0,R,R
TX,2016,9,152032.0,36491.0,0.806437411,D,D
TX,2016,10,120170.0,179221.0,0.401381471,R,R
TX,2016,11,0.0,201871.0,0.0,R,R
TX,2016,12,76029.0,196482.0,0.278994242,R,R
TX,2016,13,0.0,199050.0,0.0,R,R
TX,2016,14,99054.0,160631.0,0.38143905100000003,R,R
TX,2016,15,101712.0,66877.0,0.6033133829999999,O,D
TX,2016,16,150228.0,0.0,1.0,D,D
TX,2016,17,86603.0,149417.0,0.366930769,R,R
TX,2016,18,150157.0,48306.0,0.756599467,D,D
TX,2016,19,0.0,176314.0,0.0,O,R
TX,2016,20,149640.0,0.0,1.0,D,D
TX,2016,21,129765.0,202967.0,0.389998557,R,R
TX,2016,22,123679.0,181864.0,0.404784269,R,R
TX,2016,23,107526.0,110577.0,0.493005598,R,R
TX,2016,24,108389.0,154845.0,0.411759119,R,R
TX,2016,25,117073.0,180988.0,0.392782014,R,R
TX,2016,26,94507.0,211730.0,0.30860738600000004,R,R
TX,2016,27,88329.0,142251.0,0.38307312,R,R
TX,2016,28,122086.0,57740.0,0.678911837,D,D
TX,2016,29,95649.0,31646.0,0.751396363,D,D
TX,2016,30,170502.0,31518.0,0.843985744,D,D
TX,2016,31,103852.0,166060.0,0.384762441,R,R
TX,2016,32,0.0,162868.0,0.0,R,R
TX,2016,33,93147.0,33222.0,0.737103245,D,D
TX,2016,34,104638.0,62323.0,0.62672121,D,D
TX,2016,35,124612.0,62384.0,0.6663885860000001,D,D
TX,2016,36,0.0,193675.0,0.0,R,R
UT,2016,1,73381.0,182928.0,0.28629895899999996,R,R
UT,2016,2,93780.0,170542.0,0.354794531,R,R
UT,2016,3,75716.0,209589.0,0.26538616600000003,R,R
UT,2016,4,113413.0,147597.0,0.434515919,R,R
VA,2016,1,140785.0,230213.0,0.379476439,R,R
VA,2016,2,119440.0,190475.0,0.385395996,O,R
VA,2016,3,208337.0,103289.0,0.668548196,D,D
VA,2016,4,200136.0,145731.0,0.578650175,D,D
VA,2016,5,148339.0,207758.0,0.416569081,O,R
VA,2016,6,112170.0,225471.0,0.332216763,R,R
VA,2016,7,160159.0,218057.0,0.42345908200000004,R,R
VA,2016,8,246653.0,98387.0,0.71485335,D,D
VA,2016,9,87877.0,212838.0,0.292226859,R,R
VA,2016,10,187712.0,210791.0,0.47104287799999994,R,R
VA,2016,11,247818.0,0.0,1.0,D,D
VT,2016,1,264414.0,0.0,1.0,D,D
WA,2016,1,193619.0,155779.0,0.554150281,D,D
WA,2016,2,208314.0,117094.0,0.640162504,D,D
WA,2016,3,119820.0,193457.0,0.38247301899999997,R,R
WA,2016,4,0.0,229919.0,0.0,R,R
WA,2016,5,130575.0,192959.0,0.403589731,R,R
WA,2016,6,201718.0,126116.0,0.6153053070000001,D,D
WA,2016,7,378754.0,0.0,1.0,O,D
WA,2016,8,127720.0,193145.0,0.398049024,R,R
WA,2016,9,205165.0,76317.0,0.728874315,D,D
WA,2016,10,170460.0,120104.0,0.586652166,D,D
WI,2016,1,107003.0,230072.0,0.317445672,R,R
WI,2016,2,273537.0,124044.0,0.6880031990000001,D,D
WI,2016,3,257401.0,0.0,1.0,D,D
WI,2016,4,220181.0,0.0,1.0,D,D
WI,2016,5,114477.0,260706.0,0.3051231,R,R
WI,2016,6,133072.0,204147.0,0.39461596200000004,R,R
WI,2016,7,138643.0,223418.0,0.38292718600000003,R,R
WI,2016,8,135682.0,227892.0,0.373189502,O,R
WV,2016,1,73534.0,163469.0,0.310266115,R,R
WV,2016,2,101207.0,140807.0,0.418186551,R,R
WV,2016,3,49708.0,140741.0,0.261004258,R,R
WY,2016,1,75466.0,156176.0,0.325787206,O,R
